Missing%,Imputer,Model,R2
5,Mean,Linear,0.3875066537431253
5,Mean,Tree,-0.2355506490151944
5,Mean,RF,0.40095617310979714
5,KNN,Linear,0.39257859529113814
5,KNN,Tree,-0.07512794680348645
5,KNN,RF,0.396695132793508
5,MICE,Linear,0.43811011996343063
5,MICE,Tree,0.020357969874181037
5,MICE,RF,0.47612487997853536
5,Mean,DNN,-1.8947374820709229
5,KNN,DNN,-2.206174612045288
5,MICE,DNN,-1.810591697692871
10,Mean,Linear,0.4119350141478736
10,Mean,Tree,-0.24691564684918932
10,Mean,RF,0.39540259597976113
10,KNN,Linear,0.41459865052355793
10,KNN,Tree,0.042076376819122574
10,KNN,RF,0.40485976377915234
10,MICE,Linear,0.43713210690341897
10,MICE,Tree,-0.2111325514110487
10,MICE,RF,0.45252267279073444
10,Mean,DNN,-1.8761394023895264
10,KNN,DNN,-2.0155394077301025
10,MICE,DNN,-1.7953624725341797
20,Mean,Linear,0.46567248618851154
20,Mean,Tree,-0.6938957734544517
20,Mean,RF,0.3627781820878765
20,KNN,Linear,0.4725932746026811
20,KNN,Tree,-0.030878892911659017
20,KNN,RF,0.47349627686120366
20,MICE,Linear,0.42320952003179757
20,MICE,Tree,-0.18623304785274786
20,MICE,RF,0.3981940262841981
20,Mean,DNN,-2.162214994430542
20,KNN,DNN,-1.7267789840698242
20,MICE,DNN,-2.120694637298584
